GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD05,HD02_VD05,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:
9700000US4213140,4213140,"Lancaster School District, Pennsylvania",75291,175,49758,1279,10817,937,2262,474,3428,719
9700000US4213290,4213290,"Homer-Center School District, Pennsylvania",6447,116,6419,117,3,5,0,15,0,15
9700000US4213320,4213320,"Laurel Highlands School District, Pennsylvania",23389,33,22225,310,539,208,70,109,448,190
9700000US4213380,4213380,"Laurel School District, Pennsylvania",8031,258,7984,245,0,15,0,15,47,45
9700000US4213440,4213440,"Lebanon School District, Pennsylvania",26416,147,18225,763,1036,287,160,113,1619,437
9700000US4213470,4213470,"Leechburg Area School District, Pennsylvania",5982,289,5822,292,28,29,40,40,76,35
9700000US4213500,4213500,"Lehighton Area School District, Pennsylvania",17935,198,17392,308,238,194,28,32,233,152
9700000US4213590,4213590,"Lewisburg Area School District, Pennsylvania",19005,141,16369,423,1205,260,453,102,473,188
9700000US4213710,4213710,"Ligonier Valley School District, Pennsylvania",15651,411,15420,419,31,27,4,6,33,21
9700000US4213770,4213770,"Penn Cambria School District, Pennsylvania",17103,337,15312,426,1406,203,58,55,201,63
9700000US4213980,4213980,"Littlestown Area School District, Pennsylvania",15000,502,14691,540,69,51,49,33,112,62
