GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01
Id,Id2,Geography,Total; Estimate; Total civilian noninstitutionalized population,Total; Margin of Error; Total civilian noninstitutionalized population,With a disability; Estimate; Total civilian noninstitutionalized population,With a disability; Margin of Error; Total civilian noninstitutionalized population,Percent with a disability; Estimate; Total civilian noninstitutionalized population,Percent with a disability; Margin of Error; Total civilian noninstitutionalized population
9700000US4218930,4218930,"Perkiomen Valley School District, Pennsylvania",34766,514,2206,326,6.3,0.9
9700000US4218960,4218960,"Peters Township School District, Pennsylvania",21134,169,1615,229,7.6,1.1
9700000US4218990,4218990,"Philadelphia City School District, Pennsylvania",1520976,1051,239682,4424,15.8,0.3
9700000US4219020,4219020,"Philipsburg-Osceola Area School District, Pennsylvania",14547,408,2192,239,15.1,1.6
9700000US4219050,4219050,"Phoenixville Area School District, Pennsylvania",32067,64,2765,433,8.6,1.3
9700000US4219140,4219140,"Pine Grove Area School District, Pennsylvania",11678,270,1749,213,15.0,1.8
9700000US4219170,4219170,"Pittsburgh School District, Pennsylvania",301668,987,42053,1336,13.9,0.4
9700000US4219200,4219200,"Pittston Area School District, Pennsylvania",27639,173,4827,410,17.5,1.5
9700000US4219290,4219290,"Pleasant Valley School District, Pennsylvania",33461,214,5026,601,15.0,1.8
9700000US4219350,4219350,"Plum Borough School District, Pennsylvania",27136,48,2666,315,9.8,1.2
9700000US4219470,4219470,"Colonial School District, Pennsylvania",41426,146,3938,333,9.5,0.8
9700000US4219500,4219500,"Pocono Mountain School District, Pennsylvania",64117,87,7996,733,12.5,1.1
9700000US4219530,4219530,"Port Allegany School District, Pennsylvania",5840,265,1062,120,18.2,1.9
9700000US4219560,4219560,"Portage Area School District, Pennsylvania",6315,78,1318,208,20.9,3.3
9700000US4219650,4219650,"Pottsgrove School District, Pennsylvania",21149,129,2250,280,10.6,1.3
9700000US4219680,4219680,"Pottstown School District, Pennsylvania",22281,78,3467,408,15.6,1.8
9700000US4219710,4219710,"Pottsville Area School District, Pennsylvania",19275,315,3578,345,18.6,1.8
9700000US4219800,4219800,"Punxsutawney Area School District, Pennsylvania",21012,403,3387,248,16.1,1.2
9700000US4219830,4219830,"Purchase Line School District, Pennsylvania",7120,220,1186,226,16.7,3.2
9700000US4219860,4219860,"Quaker Valley School District, Pennsylvania",13601,257,1505,131,11.1,0.9
9700000US4219890,4219890,"Quakertown Community School District, Pennsylvania",35948,332,3415,408,9.5,1.1
9700000US4219920,4219920,"Radnor Township School District, Pennsylvania",31261,99,1994,260,6.4,0.8
9700000US4220040,4220040,"Reading School District, Pennsylvania",87520,120,16559,977,18.9,1.1
9700000US4220100,4220100,"Red Lion Area School District, Pennsylvania",38445,262,4682,503,12.2,1.3
