GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC05_EST_VC01,HC05_MOE_VC01
Id,Id2,Geography,Total; Estimate; Total civilian noninstitutionalized population,Total; Margin of Error; Total civilian noninstitutionalized population,Number Uninsured; Estimate; Total civilian noninstitutionalized population,Number Uninsured; Margin of Error; Total civilian noninstitutionalized population,Percent Uninsured; Estimate; Total civilian noninstitutionalized population,Percent Uninsured; Margin of Error; Total civilian noninstitutionalized population,Number Insured by  Coverage Type; Estimate; Total civilian noninstitutionalized population,Number Insured by  Coverage Type; Margin of Error; Total civilian noninstitutionalized population,Percent Insured by  Coverage Type; Estimate; Total civilian noninstitutionalized population,Percent Insured by  Coverage Type; Margin of Error; Total civilian noninstitutionalized population
9700000US4209570,4209570,"Fairview School District, Pennsylvania",9678,140,201,82,2.1,0.8,9477,150,97.9,0.8
9700000US4209600,4209600,"Karns City Area School District, Pennsylvania",10449,418,1034,143,9.9,1.3,9415,412,90.1,1.3
9700000US4209660,4209660,"Fannett-Metal School District, Pennsylvania",4524,212,1260,307,27.9,6.8,3264,363,72.1,6.8
9700000US4209690,4209690,"Farrell Area School District, Pennsylvania",5648,168,548,208,9.7,3.7,5100,262,90.3,3.7
9700000US4209750,4209750,"Ferndale Area School District, Pennsylvania",5159,327,397,73,7.7,1.4,4762,314,92.3,1.4
9700000US4209780,4209780,"Fleetwood Area School District, Pennsylvania",16685,26,1302,350,7.8,2.1,15383,348,92.2,2.1
9700000US4209870,4209870,"Forbes Road School District, Pennsylvania",2923,195,323,94,11.1,3.0,2600,178,88.9,3.0
9700000US4209930,4209930,"Forest City Regional School District, Pennsylvania",5720,371,588,116,10.3,1.8,5132,339,89.7,1.8
9700000US4209940,4209940,"Forest Hills School District, Pennsylvania",12503,194,976,198,7.8,1.6,11527,257,92.2,1.6
9700000US4209960,4209960,"Fort Cherry School District, Pennsylvania",8598,274,763,216,8.9,2.5,7835,307,91.1,2.5
