GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
9700000US4213980,4213980,"Littlestown Area School District, Pennsylvania",5663,209,4383,249,1280,203
9700000US4214100,4214100,"Lower Dauphin School District, Pennsylvania",9422,275,7440,290,1982,240
9700000US4214160,4214160,"Lower Merion School District, Pennsylvania",23957,368,18042,427,5915,359
9700000US4214190,4214190,"Lower Moreland Township School District, Pennsylvania",4524,154,3866,177,658,96
9700000US4214250,4214250,"Methacton School District, Pennsylvania",12251,336,9514,347,2737,287
9700000US4214310,4214310,"Loyalsock Township School District, Pennsylvania",5125,213,3930,239,1195,217
9700000US4214430,4214430,"Mahanoy Area School District, Pennsylvania",3319,200,2632,193,687,156
9700000US4214460,4214460,"Line Mountain School District, Pennsylvania",3634,135,2973,124,661,96
9700000US4214550,4214550,"Manheim Central School District, Pennsylvania",9415,250,7468,290,1947,274
9700000US4214580,4214580,"Manheim Township School District, Pennsylvania",15243,324,11238,413,4005,348
9700000US4214730,4214730,"Marion Center Area School District, Pennsylvania",3841,138,3232,127,609,82
9700000US4214760,4214760,"Marple Newtown School District, Pennsylvania",12925,308,10692,350,2233,244
9700000US4214790,4214790,"Mars Area School District, Pennsylvania",7464,266,6214,323,1250,213
9700000US4214850,4214850,"Central Fulton School District, Pennsylvania",2618,89,1856,76,762,80
9700000US4214880,4214880,"McGuffey School District, Pennsylvania",4910,142,4054,155,856,131
9700000US4214940,4214940,"McKeesport Area School District, Pennsylvania",13871,396,8389,339,5482,324
9700000US4215030,4215030,"Mechanicsburg Area School District, Pennsylvania",11585,351,8021,356,3564,337
9700000US4215120,4215120,"Mercer Area School District, Pennsylvania",3747,143,3017,147,730,104
9700000US4215150,4215150,"Meyersdale Area School District, Pennsylvania",2722,99,2216,83,506,66
9700000US4215170,4215170,"Mid Valley School District, Pennsylvania",6621,222,4425,259,2196,258
9700000US4215210,4215210,"Midd-West School District, Pennsylvania",6404,195,5024,188,1380,140
9700000US4215240,4215240,"Middletown Area School District, Pennsylvania",7336,286,5016,245,2320,201
9700000US4215270,4215270,"Midland Borough School District, Pennsylvania",1130,110,601,120,529,93
9700000US4215290,4215290,"Mifflin County School District, Pennsylvania",17446,360,12698,345,4748,403
9700000US4215330,4215330,"Millcreek Township School District, Pennsylvania",22326,395,15728,474,6598,387
9700000US4215360,4215360,"Millersburg Area School District, Pennsylvania",2930,184,2090,177,840,169
9700000US4215450,4215450,"Millville Area School District, Pennsylvania",2258,74,1780,78,478,63
9700000US4215480,4215480,"Milton Area School District, Pennsylvania",7150,238,5359,262,1791,252
9700000US4215510,4215510,"Minersville Area School District, Pennsylvania",3829,148,2812,186,1017,175
9700000US4215540,4215540,"Mohawk Area School District, Pennsylvania",4275,149,3641,204,634,135
9700000US4215600,4215600,"Monessen City School District, Pennsylvania",3603,201,2449,177,1154,152
9700000US4215660,4215660,"Montgomery Area School District, Pennsylvania",2305,135,1710,109,595,83
9700000US4215720,4215720,"Montour School District, Pennsylvania",11166,226,8424,278,2742,259
9700000US4215750,4215750,"Montoursville Area School District, Pennsylvania",5562,218,4607,227,955,146
9700000US4215810,4215810,"Montrose Area School District, Pennsylvania",4813,164,3854,145,959,124
9700000US4215830,4215830,"Moon Area School District, Pennsylvania",10913,371,7847,380,3066,292
9700000US4215900,4215900,"Morrisville Borough School District, Pennsylvania",3586,262,2162,259,1424,220
9700000US4215960,4215960,"Moshannon Valley School District, Pennsylvania",2696,159,2251,140,445,68
9700000US4215990,4215990,"Mount Carmel Area School District, Pennsylvania",5750,237,4118,263,1632,223
