GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01
Id,Id2,Geography,Total; Estimate; Population 16 years and over,Total; Margin of Error; Population 16 years and over,In labor force; Estimate; Population 16 years and over,In labor force; Margin of Error; Population 16 years and over,Employed; Estimate; Population 16 years and over,Employed; Margin of Error; Population 16 years and over,Unemployment rate; Estimate; Population 16 years and over,Unemployment rate; Margin of Error; Population 16 years and over
9700000US4206060,4206060,"Clarion Area School District, Pennsylvania",7667,208,53.2,2.6,48.1,2.7,9.6,2.8
9700000US4206090,4206090,"Clarion-Limestone Area School District, Pennsylvania",6700,225,56.1,4.3,51.8,4.3,7.7,2.7
9700000US4206120,4206120,"Claysburg-Kimmel School District, Pennsylvania",4660,211,58.2,3.6,53.3,3.6,8.4,2.9
9700000US4206150,4206150,"Clearfield Area School District, Pennsylvania",15638,274,59.5,2.1,54.3,2.3,8.7,1.9
9700000US4206240,4206240,"Coatesville Area School District, Pennsylvania",49146,470,71.4,1.2,64.0,1.4,10.2,1.2
9700000US4206270,4206270,"Cocalico School District, Pennsylvania",17850,293,70.7,1.9,66.5,2.2,6.0,1.4
9700000US4206360,4206360,"Columbia Borough School District, Pennsylvania",7927,214,66.7,2.6,60.0,3.0,10.0,2.3
9700000US4206390,4206390,"Commodore Perry School District, Pennsylvania",3433,145,61.7,2.3,56.1,2.4,9.2,1.8
9700000US4206420,4206420,"Conemaugh Township Area School District, Pennsylvania",6997,252,58.8,3.2,54.9,3.3,6.5,2.1
9700000US4206430,4206430,"Conemaugh Valley School District, Pennsylvania",5451,164,58.8,2.2,52.9,2.6,10.0,2.7
9700000US4206480,4206480,"Conestoga Valley School District, Pennsylvania",25082,431,66.9,2.0,63.0,2.1,5.8,1.2
9700000US4206550,4206550,"Conewago Valley School District, Pennsylvania",21582,466,68.0,1.7,64.2,1.7,5.4,1.2
9700000US4206590,4206590,"Conneaut School District, Pennsylvania",14681,315,57.7,1.5,52.3,1.5,9.3,1.2
9700000US4206660,4206660,"Connellsville Area School District, Pennsylvania",28020,421,56.2,1.6,51.3,1.8,8.7,1.3
9700000US4206780,4206780,"Conrad Weiser Area School District, Pennsylvania",15833,332,65.6,2.2,60.3,2.1,7.9,1.8
